1497 10000
1474 41 724
144 1258 741
1166 683 537
675 893 433
1183 244 574
268 296 562
754 1461 66
1195 893 498
1319 876 112
1176 47 122
563 813 299
466 340 164
754 1368 5
563 320 413
744 1244 167
80 1461 889
466 1417 181
533 887 447
418 528 408
91 1437 131
159 876 795
91 563 679
7 233 24
1266 856 497
1439 893 243
927 486 420
705 600 391
1023 1037 721
1194 276 403
664 1192 785
982 851 941
47 24 592
648 884 57
320 851 457
1368 988 964
7 549 74
134 1005 157
533 91 606
539 35 175
649 773 236
675 635 295
1305 1051 790
772 982 593
416 944 719
119 1091 68
568 739 686
188 1465 368
490 988 81
988 490 689
455 70 291
64 1068 305
1260 546 755
741 340 484
425 1136 48
683 1383 280
264 494 816
1329 798 437
1446 1223 744
901 829 418
1078 568 627
618 149 403
953 664 185
1261 7 268
511 988 854
856 1053 410
674 1232 185
1078 985 292
965 573 753
1068 1153 948
804 115 871
1104 996 780
1037 856 957
794 921 933
252 176 128
1099 1176 226
1261 921 152
860 1074 151
739 486 852
22 812 779
1439 1447 71
178 600 68
328 902 1
884 91 359
686 225 859
486 1375 741
1114 346 235
387 794 261
35 421 542
1423 901 229
772 19 635
63 527 922
1469 189 281
1099 755 636
1095 848 753
944 134 815
576 1091 899
397 581 57
7 879 409
739 851 127
862 936 261
483 1091 714
1028 91 948
134 1037 506
276 879 53
1195 580 173
47 1295 812
829 387 997
159 428 337
19 856 429
91 7 610
336 600 38
1333 88 455
982 581 758
415 465 779
259 115 872
995 486 266
425 745 941
370 433 109
879 1423 516
54 986 366
1385 1189 987
1218 222 768
1114 276 576
953 110 160
1037 370 991
1279 1219 152
421 683 90
1437 860 658
225 264 597
1026 675 124
47 856 536
683 1004 860
511 279 303
469 995 333
326 1461 117
759 649 956
573 560 460
35 772 744
192 340 964
988 1008 65
1016 1004 140
1016 340 978
1143 745 979
1005 799 642
755 1114 56
703 1077 661
953 1016 54
563 856 381
1008 1095 181
1341 1091 643
346 1375 410
996 785 164
1232 240 267
1384 1480 750
304 1384 505
995 1183 454
1194 466 399
862 870 349
573 1166 520
640 1143 570
1053 253 200
1439 1368 656
1231 563 382
549 1375 810
252 103 335
648 1134 438
580 774 644
573 996 290
710 266 360
1375 224 171
35 1439 79
996 703 910
580 88 323
829 1053 604
669 594 308
1379 1123 58
515 979 802
1026 785 595
307 1341 826
568 759 309
581 445 165
581 680 322
610 1223 940
680 573 425
105 1023 66
1492 490 809
813 1385 256
1217 466 931
703 1265 734
1223 1333 878
228 1183 222
466 119 820
466 307 655
1295 304 72
600 307 972
264 192 452
785 1037 897
1037 774 326
953 1440 564
1166 337 130
368 527 778
490 1091 323
397 1143 157
884 610 402
189 149 878
1038 1305 814
1091 1368 119
494 1437 415
189 618 903
1456 245 587
1492 745 926
1301 563 515
848 985 672
180 1062 825
1192 588 752
953 225 91
1224 1333 95
1114 563 543
774 326 702
703 520 935
486 912 991
921 680 366
421 652 868
635 320 93
1446 1068 610
701 1068 496
600 421 840
822 1385 629
901 1008 670
1336 594 611
447 70 647
680 1375 309
982 415 85
648 887 453
649 266 596
276 1354 808
138 988 694
982 252 747
304 1194 343
279 103 210
1213 119 652
600 225 566
259 1295 673
1063 1265 680
914 337 883
103 64 923
268 1005 501
546 1136 727
1037 988 811
975 249 27
1456 649 828
965 901 904
995 225 585
1051 1028 358
421 741 84
1295 1100 284
669 1068 310
829 1279 829
1398 244 63
901 494 335
985 279 414
1223 1099 332
233 1189 812
745 1384 957
340 573 839
1028 1068 872
680 1023 441
259 47 911
703 1026 247
701 774 355
1095 710 340
580 1261 511
674 936 660
1023 266 489
743 1213 481
1354 1166 89
469 425 959
1232 1354 646
1024 1207 996
795 610 746
47 1384 26
504 1181 386
1232 149 590
568 927 439
1131 511 157
581 1295 33
1037 568 997
668 1207 989
703 326 204
588 1099 437
415 1078 223
1143 772 744
91 233 249
105 1375 286
774 1377 4
848 755 484
1015 44 681
581 1223 205
421 649 754
1037 985 294
669 465 823
1251 326 616
1402 1135 378
178 772 549
667 1178 427
241 397 403
1354 664 63
486 1295 268
1295 1417 538
1261 7 208
916 703 501
490 64 685
683 686 776
754 415 740
276 573 594
580 490 123
1028 975 387
1437 279 312
415 1219 875
580 965 833
1060 279 448
944 1008 1000
772 1053 916
772 1437 691
52 842 966
652 276 615
1446 710 606
653 299 906
566 870 198
1037 618 140
225 486 660
1219 1008 787
429 181 633
1192 1213 837
710 635 288
851 862 265
1091 1384 446
1099 159 728
490 1051 760
1100 1223 710
421 296 988
1354 703 437
754 1223 323
176 47 848
812 829 686
893 276 399
264 985 922
346 703 633
996 755 379
1051 105 359
1398 856 303
412 1334 943
159 914 249
600 189 947
988 1219 945
494 192 613
1217 233 608
416 138 932
774 336 166
244 1492 267
600 233 284
1223 1008 431
447 1375 940
988 546 496
134 1005 406
1136 276 457
189 494 267
1091 7 51
573 63 941
490 580 475
7 669 675
228 361 171
1026 928 869
110 1026 900
1060 703 99
669 1446 754
1366 1417 183
415 425 579
1266 741 576
397 686 259
923 1051 726
103 772 905
759 1279 614
315 1189 819
813 755 707
930 425 848
326 901 380
276 1195 303
936 1261 181
600 1368 126
553 1213 89
546 901 152
149 1465 761
279 1091 683
7 618 624
851 25 453
533 241 90
1305 669 324
594 1176 340
1439 154 962
177 155 602
549 1081 158
397 754 494
505 1074 51
686 1333 671
944 278 711
628 562 49
930 149 350
119 856 596
568 19 210
10 497 645
1465 159 594
652 1266 726
63 1219 297
244 63 753
63 268 823
1099 1114 625
568 560 461
848 568 203
292 268 615
1153 1437 326
416 387 533
1258 533 859
7 244 38
88 340 916
115 1258 518
774 1375 519
1423 304 931
278 1153 805
421 428 29
1305 338 778
415 1440 808
188 1026 282
1053 276 168
1037 930 157
686 635 174
7 856 990
503 148 698
421 63 203
1100 576 473
225 743 298
804 772 709
80 1219 236
671 1136 97
387 829 15
549 1480 318
252 680 335
1465 428 811
652 138 6
7 1417 932
1470 1333 827
578 1385 938
988 683 586
466 1261 8
580 744 147
794 252 62
1189 1183 212
47 1341 697
304 241 342
733 742 662
346 486 861
1349 303 16
970 1158 685
1143 1219 824
1423 466 362
652 80 361
1492 785 519
259 1455 593
851 705 404
241 1465 382
1213 588 582
1381 304 79
640 35 669
490 425 30
703 965 492
268 1134 780
1385 326 22
483 600 494
1005 982 330
296 710 194
252 421 536
1008 588 800
387 133 519
813 600 740
985 785 169
1368 1053 94
759 176 14
755 1176 687
177 244 795
652 683 275
813 884 720
276 1091 97
274 1312 953
723 370 285
576 7 937
1068 70 116
1176 560 363
876 985 640
159 661 197
441 140 316
1437 276 101
1335 314 860
447 307 592
1143 772 215
703 1244 301
745 47 306
340 483 721
812 1219 805
233 640 549
1188 772 641
486 421 995
705 1385 386
425 421 456
829 1213 673
1183 1437 159
486 774 306
1101 1326 333
47 1492 683
119 1099 94
664 73 518
1068 19 917
1136 1377 420
953 1091 142
110 233 405
1375 618 225
780 1158 723
795 887 252
252 159 384
80 192 791
549 1004 953
1480 1366 383
1127 1183 143
635 80 16
1100 1051 924
63 813 686
110 1258 154
326 189 374
1440 192 481
196 1250 429
551 70 284
1219 656 523
1333 893 444
851 370 543
421 47 324
879 397 639
486 1127 921
361 1366 219
241 138 923
856 370 945
675 812 287
276 745 658
549 930 272
568 772 707
829 387 757
421 1368 839
985 856 555
241 610 300
47 19 14
848 1077 684
47 189 612
1195 708 218
1005 192 424
1375 576 917
1128 1026 304
115 1295 764
936 893 727
1213 710 155
70 1446 848
465 860 870
134 1456 885
1026 253 234
1308 952 564
795 813 892
709 310 302
921 337 825
996 326 668
1183 80 345
649 610 295
397 244 749
527 336 962
884 421 292
192 22 257
391 81 513
264 64 927
105 1223 299
1128 1465 29
795 901 942
683 7 674
669 304 542
1063 686 633
1060 336 59
563 176 554
1192 241 72
1398 178 891
1068 975 648
22 674 566
1217 1041 248
1143 159 234
1223 576 171
553 580 19
221 802 996
580 581 739
276 533 637
91 1038 441
1464 243 461
412 1068 711
1068 965 13
7 588 101
178 759 202
944 244 398
884 1026 968
1060 994 896
1465 1037 652
710 1153 535
1305 415 785
1038 455 999
580 1016 803
486 192 226
856 1354 626
370 336 988
241 953 390
80 70 616
804 307 396
326 680 590
703 675 285
921 988 946
739 266 28
421 930 877
652 794 985
600 520 369
1005 568 79
1377 1037 269
244 600 669
641 621 288
966 1236 200
276 22 290
645 1195 476
680 1192 61
996 930 700
1266 1219 790
807 1309 450
1295 546 901
649 1183 176
862 574 544
686 1104 912
189 884 593
266 635 1
856 618 710
304 588 208
1166 337 304
588 566 944
860 743 729
266 549 574
1213 953 585
307 266 720
176 466 95
119 930 779
413 1372 726
264 1295 922
1005 1104 693
600 1384 477
7 774 16
1258 588 762
648 1232 968
1005 879 102
1266 804 80
916 1217 134
755 494 393
988 1417 910
568 1375 65
856 280 803
1328 633 940
7 279 164
118 1385 957
138 745 595
19 774 424
325 930 395
292 233 793
822 425 148
656 1077 450
781 225 746
1091 119 753
1375 1143 564
91 1099 869
134 1176 311
241 421 530
1232 1423 797
1217 829 321
799 1051 669
346 1219 843
1166 159 220
1192 1183 403
672 138 403
568 848 849
745 656 691
1176 1279 440
421 1366 986
1131 1183 695
131 1143 358
22 923 210
923 483 549
233 985 384
923 1176 799
683 1223 743
519 1259 68
944 755 195
336 47 314
1232 560 665
944 1398 975
879 134 953
276 856 238
1231 648 273
755 253 583
1114 1223 193
455 785 553
1385 533 129
1134 1166 416
494 110 502
1490 111 322
1053 19 288
1265 1295 105
340 368 421
1265 1440 479
674 588 208
901 774 100
1384 1341 363
19 91 933
214 1179 720
1053 466 251
1026 276 395
252 340 253
487 378 250
387 901 312
192 856 422
669 1266 863
1100 568 79
1398 397 166
1223 253 866
641 1278 649
626 891 233
661 563 360
1366 1134 620
1100 574 967
64 1492 871
1146 1423 382
916 568 54
741 1219 779
47 914 9
1385 539 408
397 138 605
428 1195 100
1078 266 71
887 119 587
600 1194 359
580 1492 9
860 812 48
1192 320 769
64 63 576
785 1385 354
675 22 802
664 134 18
645 703 463
1053 1219 599
109 394 703
996 635 593
1384 1219 419
851 1480 255
37 727 922
600 995 540
814 13 466
610 600 468
1244 703 276
1266 862 404
1410 710 703
645 1377 769
1063 573 281
610 794 556
649 710 746
478 26 656
159 1005 139
1223 921 197
774 739 923
397 1232 202
19 63 208
995 244 46
511 1456 719
447 772 449
1219 759 842
511 576 472
1305 486 711
744 930 249
755 733 941
252 415 530
710 674 612
325 1480 854
486 1068 397
574 80 152
804 421 5
675 671 456
795 812 200
192 674 540
1062 1163 887
304 1306 771
91 192 507
1189 244 404
985 1153 172
244 588 433
336 225 968
325 292 166
159 465 560
559 936 323
375 1385 804
985 387 233
228 233 543
574 1305 216
609 869 880
1461 1166 74
7 149 656
1470 134 500
252 635 470
1417 387 489
1258 1266 448
425 879 937
486 368 36
1026 573 168
279 307 490
397 88 312
1422 1419 55
927 1217 501
743 494 647
1074 134 619
105 675 277
680 35 687
772 80 463
876 1095 219
264 1008 499
487 306 714
795 884 886
63 115 553
421 916 223
549 539 242
1026 661 218
754 1192 832
1473 580 459
241 228 593
581 477 793
1437 804 447
1005 568 718
1091 745 723
278 828 911
930 739 474
752 585 689
315 130 316
1134 1005 75
988 276 265
421 64 706
1223 829 822
1077 527 187
901 1051 326
588 560 179
1170 35 199
63 785 982
7 276 3
344 1253 269
588 794 941
149 533 648
1377 1417 528
710 1016 300
1099 794 814
1005 701 228
189 1232 522
244 176 216
397 1143 827
64 705 74
1134 415 473
105 241 739
337 851 401
163 368 912
276 759 637
1160 1362 154
618 1295 28
1219 494 43
1266 785 141
701 1232 489
43 320 328
64 304 520
1100 953 848
1465 1232 36
1004 652 36
266 304 451
799 178 207
80 848 10
105 1279 941
710 505 348
576 1258 81
1341 568 889
988 494 905
588 105 821
754 953 620
240 1258 331
985 1423 206
466 340 481
80 995 215
511 1261 697
1440 192 453
965 233 618
1347 772 376
230 858 565
1091 304 47
192 252 49
1116 295 905
541 488 56
1446 813 609
610 785 285
325 1213 210
812 739 735
743 1016 714
527 573 694
640 1051 802
1258 594 37
325 397 498
580 233 713
1074 743 446
397 671 459
276 921 338
103 1166 345
897 553 22
703 64 873
549 600 214
755 741 255
812 1461 938
1030 153 574
563 244 297
600 1301 594
397 1068 865
719 678 264
574 296 248
359 858 546
812 107 440
1077 1219 548
178 490 255
456 506 836
876 675 344
1465 1037 465
1176 944 482
421 559 136
134 466 808
988 652 305
233 674 20
1251 1480 883
1088 55 18
1091 580 318
80 1333 57
936 974 573
490 923 255
755 1153 665
1384 1189 279
1381 739 237
80 953 414
1366 425 375
703 985 936
892 1217 756
188 1480 513
1192 446 434
574 549 715
573 798 333
1060 1279 86
1004 1377 11
982 563 363
307 428 530
1375 652 173
466 1074 205
568 851 188
1004 674 403
596 989 163
233 829 954
1042 117 181
1053 566 613
1223 774 72
610 466 311
115 1217 663
110 600 851
1026 387 962
1026 1219 463
511 566 346
1060 64 298
580 466 505
703 1470 105
1063 1195 959
804 560 928
739 1005 503
421 921 184
1219 664 918
268 600 974
149 1053 120
1295 22 550
455 563 627
1223 64 25
1104 563 992
755 1439 582
887 483 283
1296 215 755
1100 1026 879
923 1091 435
916 240 676
1016 361 153
244 879 548
1301 278 401
244 304 131
656 675 584
560 279 125
276 785 978
370 755 389
1068 774 586
560 224 603
1183 370 406
675 610 516
1295 743 549
447 134 388
1383 1492 466
276 879 427
520 794 247
452 1026 502
851 1104 823
669 785 131
533 640 82
992 1054 379
1410 421 338
741 1232 58
1232 88 657
296 743 990
743 244 765
773 212 622
368 266 296
1194 594 547
1266 640 735
755 252 139
562 1239 439
1461 568 103
1053 370 600
1068 1195 372
375 680 192
225 119 926
953 566 647
225 1053 702
1078 105 865
795 91 775
105 553 180
70 851 974
646 679 486
138 675 484
1492 703 150
370 774 637
1007 766 363
224 1153 627
1301 563 871
64 447 903
304 465 282
1217 860 823
600 428 522
1410 228 582
1375 1341 284
553 754 859
829 1192 327
326 1417 115
533 1026 941
397 244 236
1104 1306 231
1480 813 778
610 553 844
134 551 273
296 421 183
661 573 936
563 1128 809
648 988 684
1060 1026 449
1366 822 262
568 375 37
563 1368 865
292 985 132
822 661 236
685 161 752
466 1004 327
574 664 822
296 70 658
1381 1131 415
415 1385 546
713 313 295
563 228 576
1060 252 860
1074 729 659
652 794 970
1261 1016 503
804 149 632
671 774 697
1114 1026 427
1383 686 266
64 35 73
1258 1492 450
669 1028 674
1333 292 840
804 851 649
1078 635 18
1016 1136 418
464 447 379
486 563 510
995 415 103
64 1223 349
326 553 21
566 268 705
1437 421 244
546 1053 619
573 703 412
805 706 713
176 600 161
233 320 516
483 189 524
985 7 17
953 1305 461
320 588 838
278 580 348
278 600 862
176 47 683
387 1265 512
813 533 942
1166 774 107
1104 574 481
1166 397 402
387 860 840
985 428 479
710 47 961
1148 957 98
192 19 33
1232 1023 843
851 1437 599
1099 340 101
70 1194 983
225 134 298
953 241 772
848 19 485
505 573 497
876 7 974
851 785 580
1398 1068 356
549 573 144
1492 397 321
812 600 94
22 115 535
134 648 637
233 505 593
1217 923 311
70 1194 856
1261 1373 822
1143 533 925
268 686 295
115 105 685
887 290 236
1219 1005 488
192 490 884
1091 1128 932
1446 1279 695
1114 774 389
1016 1104 455
308 624 652
212 944 714
168 186 771
520 743 249
1183 1008 942
1189 483 107
582 1110 545
1223 119 938
416 588 302
1005 70 931
1091 745 859
664 1091 755
1143 982 272
1423 276 685
494 1016 520
1014 1074 348
703 264 405
798 337 638
1005 119 726
80 1266 120
253 851 48
829 574 25
568 1099 680
70 705 580
368 851 581
812 1354 390
292 588 148
159 785 25
680 829 895
490 70 584
786 649 486
336 759 411
527 224 675
739 916 154
539 710 758
368 686 962
370 1068 805
276 930 719
610 744 322
325 1060 165
581 1480 126
1091 387 79
1136 774 785
88 566 420
930 860 459
804 64 874
1162 1104 603
546 80 61
1305 675 571
1457 1293 176
772 879 170
325 1023 563
1231 893 534
956 1211 908
1375 860 728
1128 47 266
1189 860 711
914 1333 876
1008 795 130
1183 1366 812
669 7 21
648 1231 293
1023 648 208
486 1060 894
1261 192 662
1191 1301 383
1053 683 754
1333 1295 869
1213 397 732
416 134 649
573 397 510
553 860 318
244 884 593
320 794 525
909 366 233
428 856 904
387 397 513
813 745 189
1366 189 976
1266 594 763
511 91 634
546 340 614
1026 1166 956
425 1306 28
244 176 952
739 533 732
798 1383 603
901 178 601
1423 671 44
1219 1104 773
985 610 622
563 661 846
1008 1232 737
795 1480 962
1232 661 194
1051 851 83
694 1468 698
1295 276 44
1480 1005 330
1068 876 977
600 511 492
361 1091 450
533 149 681
923 1279 617
914 161 214
1423 813 555
640 497 431
1384 600 281
533 573 43
1305 1266 172
428 416 152
397 1176 769
505 1366 618
520 19 791
225 35 98
494 914 478
563 1440 20
1077 1219 648
218 1106 820
316 134 133
292 1219 621
105 119 921
1038 416 152
266 675 248
1127 1461 921
192 744 28
600 648 843
387 138 801
754 1114 514
745 119 396
772 1261 586
1456 995 767
1266 879 763
192 70 264
1192 1437 60
1456 574 124
1465 988 18
241 1028 403
745 635 151
35 703 218
674 520 936
795 600 42
785 560 317
1265 134 455
600 224 122
494 568 886
1060 490 546
428 856 199
856 465 911
588 533 569
1301 795 33
739 1341 577
686 1176 71
1333 1261 557
65 116 182
1099 466 555
794 88 712
397 772 159
428 494 352
985 134 445
1465 241 202
430 709 53
1223 568 300
91 1104 876
683 1189 176
566 192 92
1210 1207 607
667 153 463
115 755 124
1077 1446 521
1223 189 578
927 594 642
549 1176 100
91 1028 486
563 923 630
1333 1192 223
851 1385 397
870 774 917
19 70 408
927 91 426
1028 1375 19
1289 934 73
1219 1231 707
119 813 101
652 739 933
563 1333 465
785 927 461
551 773 480
7 1127 2
930 1377 21
1305 795 201
421 812 143
710 1060 340
1266 701 494
149 652 752
19 829 640
1068 110 113
1219 742 112
326 588 669
340 656 897
1004 1127 148
656 276 683
877 554 861
304 921 610
549 732 630
1465 1384 599
1114 80 880
594 916 882
1026 428 692
70 576 828
1375 785 975
1038 772 1000
137 1421 274
1153 1143 557
988 176 843
466 483 672
829 879 855
625 104 488
804 1266 76
266 1266 781
1261 1381 805
1136 996 620
870 178 458
1266 1060 614
1195 1232 550
225 661 289
1366 618 608
134 1095 648
671 490 80
744 397 930
1456 781 776
1053 1100 594
397 1461 102
870 1038 363
368 1219 5
1004 600 339
656 573 375
252 812 211
105 686 335
1411 1497 634
710 1377 288
266 664 46
1038 795 653
7 64 787
189 1213 77
7 1127 577
228 648 718
848 1131 64
35 494 825
794 278 232
745 1480 49
795 469 264
64 1305 641
916 1219 403
923 252 197
1437 266 625
865 510 184
1456 421 743
944 1091 14
189 996 857
767 495 647
747 547 735
741 1232 941
838 907 372
149 703 676
560 795 650
566 375 437
1136 240 479
64 35 617
1439 1176 168
731 1400 197
1266 1333 401
856 387 219
138 511 784
533 988 595
138 563 612
744 600 599
1266 701 566
988 1114 246
812 1068 335
1151 546 188
244 511 635
600 996 102
1153 594 149
923 580 258
1055 108 206
1028 812 283
421 1104 899
1217 1368 167
573 63 385
375 227 129
1134 1077 465
1217 876 147
1303 419 101
91 1127 62
739 1385 330
87 415 358
266 640 792
669 743 824
901 176 686
19 1439 801
759 568 819
19 573 67
159 1398 50
703 481 124
276 1143 888
1183 304 852
600 279 199
346 466 357
576 1114 205
1219 1368 782
115 1037 750
1134 511 722
1446 930 343
253 494 872
586 681 149
1156 1263 366
703 105 911
240 936 21
741 1217 262
7 64 190
1166 1028 976
546 466 12
741 1005 174
224 607 429
1251 1385 44
923 103 167
1166 563 416
1219 64 952
574 1251 660
421 1223 419
1383 465 641
936 466 732
88 320 487
1465 1193 363
1333 224 64
618 923 934
1417 1104 433
754 259 804
799 192 894
680 252 779
188 927 494
795 233 151
772 1074 386
772 70 658
703 1195 48
1251 1005 144
1366 1251 112
336 943 803
965 785 995
415 546 752
80 1063 325
988 7 818
387 192 48
656 134 37
1461 134 655
485 376 989
701 1091 274
1232 559 902
304 63 664
354 1077 392
985 982 939
887 252 56
91 266 434
1232 965 607
1291 997 268
580 563 396
649 1195 504
337 568 579
710 936 739
469 1381 467
1219 465 80
397 511 32
671 710 488
1023 533 848
1357 490 4
486 798 680
252 421 176
326 1461 701
178 804 870
1077 1377 846
1231 1258 232
648 1143 366
573 1008 698
533 573 828
710 259 270
22 1166 371
1008 336 186
829 1341 820
812 159 599
640 233 773
614 46 559
416 252 498
923 856 291
876 1005 378
118 845 80
326 176 556
416 921 847
1114 47 495
618 914 107
1099 560 481
486 370 500
982 113 47
798 494 178
1068 739 565
539 134 768
134 228 49
1437 745 804
1244 703 786
703 553 913
953 1219 137
278 563 856
1456 1231 46
1232 1134 722
1104 829 713
519 924 656
705 466 995
1385 546 481
1341 1060 649
47 1384 163
1004 795 582
486 923 4
670 102 810
7 466 905
1127 901 811
307 224 933
134 91 772
568 876 340
566 233 357
772 1383 678
686 244 420
1129 820 500
1492 1100 271
421 618 613
1023 264 578
804 252 928
1004 988 266
958 628 507
1091 1437 946
703 1465 203
357 169 617
635 189 840
64 549 68
1423 549 652
421 985 426
88 930 391
241 829 594
415 551 935
80 568 708
1100 568 259
1016 322 217
1008 1305 872
1063 669 938
887 268 936
1026 1375 915
188 325 719
785 1279 67
159 361 675
1037 813 886
848 307 62
194 1314 645
1377 1398 734
1008 375 641
241 88 526
566 361 859
1261 635 430
370 580 426
1068 1166 64
1023 1341 646
680 553 29
428 1492 193
901 1038 813
568 982 245
812 860 284
1266 1366 291
1016 574 856
597 749 925
743 325 106
944 812 290
1446 447 343
1295 486 579
1266 996 632
1063 549 866
662 1037 79
964 11 689
612 1180 800
268 856 417
1131 421 836
671 1279 305
244 103 78
1166 1463 805
192 469 802
533 276 145
466 241 981
1026 1028 90
539 1410 247
794 279 421
387 785 772
361 956 252
105 1385 367
743 861 858
901 149 303
884 851 647
1005 70 687
268 1453 605
415 944 155
1219 292 436
490 1261 105
648 1183 361
1446 421 689
741 325 467
1232 1153 306
1333 710 616
1037 88 369
856 605 225
710 563 533
1440 573 845
170 7 542
1028 149 786
822 861 577
455 1176 176
1037 337 301
785 1099 426
397 1279 651
879 1051 475
962 201 366
336 1333 296
466 138 672
80 1127 817
675 953 726
551 743 41
476 960 35
370 241 114
1219 744 90
304 703 711
635 1063 95
1005 387 73
1016 856 850
759 1091 678
566 1213 958
520 705 423
953 1053 18
923 134 633
921 1366 924
772 279 284
1480 703 342
1439 588 401
635 887 750
101 1296 463
1166 1100 48
739 1381 349
119 134 379
959 175 150
1231 1398 997
926 1202 475
1217 415 826
375 594 71
879 944 884
1258 1295 638
1068 813 699
1166 1192 4
1219 1368 270
47 953 162
1143 703 773
965 1166 719
336 1232 66
149 856 815
252 1005 177
1251 733 764
340 1295 119
568 1068 935
921 240 582
664 1091 248
1317 241 726
618 755 567
307 466 217
985 664 845
276 580 915
1377 923 817
57 1316 966
804 1266 762
1176 680 247
701 1366 455
1004 1217 356
610 1053 335
1223 397 222
1232 278 649
1377 212 489
7 965 582
645 887 385
279 829 193
1189 846 586
566 1398 652
483 486 616
1492 77 842
930 1016 92
62 239 471
680 1377 724
533 686 972
975 192 233
772 481 655
985 829 806
1217 1153 471
1219 1213 818
927 1295 491
244 1153 878
63 851 868
188 368 593
91 22 992
1136 576 200
936 1207 202
428 416 31
1279 1223 672
573 527 553
309 1401 744
159 1279 599
138 1398 159
509 1272 202
921 580 445
1195 1232 119
930 1398 139
134 370 373
35 1026 246
233 1377 885
505 1051 502
1131 754 568
501 982 425
1140 35 694
178 1398 101
1189 425 159
710 1366 915
622 201 572
1127 1375 261
1023 1219 431
856 1232 206
563 996 309
640 1261 599
674 600 565
675 683 655
785 996 495
520 742 329
304 494 285
286 1103 648
1384 683 681
1067 576 714
1100 772 761
1060 276 677
1381 1385 988
1333 425 141
466 1333 325
671 568 132
649 1385 360
533 233 377
1213 276 897
223 140 529
1385 465 250
465 580 680
1153 944 782
285 258 605
455 421 584
466 1305 392
745 1086 856
1195 563 180
799 1077 507
900 237 712
1183 580 999
387 465 284
520 425 564
421 1026 386
1114 1219 830
710 483 962
59 847 984
1232 1128 531
978 184 22
134 1265 305
829 573 765
884 1480 786
115 149 998
