98 100
10 28 38
19 47 97
27 10 88
57 48 72
25 55 70
52 55 83
36 53 94
47 19 86
55 47 25
35 32 24
49 47 79
53 31 23
32 57 52
53 21 70
47 21 17
8 58 24
10 13 4
35 21 75
32 49 93
28 5 100
15 13 18
53 21 89
9 19 83
49 46 33
7 46 27
46 55 93
20 12 77
46 35 51
57 19 92
57 52 85
47 46 75
36 18 23
46 47 27
48 32 5
55 35 86
13 50 4
49 35 85
35 42 94
19 53 75
19 46 51
57 21 26
12 21 84
55 10 7
6 24 88
46 32 15
3 13 90
26 32 91
13 46 41
47 50 56
21 47 76
17 21 73
23 9 19
34 30 40
48 28 90
35 45 79
29 1 91
46 47 5
21 55 4
29 57 32
12 57 46
56 19 85
48 36 30
11 18 56
46 47 73
50 22 44
35 47 61
53 33 68
32 8 46
16 40 61
32 57 62
57 49 71
49 46 69
43 42 51
21 28 42
45 4 92
54 50 90
42 40 41
49 50 17
45 51 17
57 14 64
48 47 87
35 34 93
6 10 25
25 100
12 25 17
7 6 67
18 25 31
21 16 81
13 4 94
5 12 1
17 10 72
4 19 37
9 24 38
10 8 40
8 20 4
9 8 18
4 10 81
17 25 61
2 10 47
4 11 4
18 17 16
11 12 73
17 13 17
18 8 21
17 23 81
21 22 72
17 7 60
11 25 75
13 21 89
4 16 90
5 4 77
9 4 85
12 11 26
20 11 73
2 25 13
8 17 56
4 18 44
20 7 39
13 25 38
2 16 72
4 10 27
23 4 26
18 25 40
4 18 12
4 17 42
4 24 16
14 11 70
4 12 9
24 10 30
5 4 7
7 24 34
24 21 67
3 8 44
21 2 67
5 15 54
2 19 86
9 15 84
24 2 99
2 7 89
16 21 90
10 2 20
17 14 5
22 11 82
21 16 17
10 4 41
4 2 78
14 18 52
3 21 78
2 5 51
17 8 55
6 13 21
9 7 76
17 24 34
4 17 16
18 24 72
9 4 22
12 13 28
13 7 93
21 12 26
2 11 34
16 13 41
11 10 31
13 20 26
24 9 30
12 20 86
18 16 12
9 12 22
11 20 91
20 10 87
23 3 45
14 2 62
12 23 27
20 17 39
3 21 22
2 8 37
11 5 70
17 23 41
1 20 99
7 6 95
5 17 5
5 2 2
10 17 19
9 12 9
10 2 45
93 100
89 68 61
30 56 49
4 77 81
8 7 16
35 24 61
20 28 15
19 66 82
60 69 39
51 70 32
82 12 1
44 91 4
75 52 79
18 5 59
90 93 40
50 49 36
83 19 32
59 61 27
14 79 76
19 82 58
81 35 38
10 52 72
56 64 71
7 5 85
42 60 68
2 9 15
22 34 76
46 37 24
67 36 46
73 47 24
74 42 62
38 87 12
5 52 40
47 7 33
79 12 7
61 4 12
5 43 19
34 36 60
89 47 1
60 28 56
45 55 93
82 24 91
66 37 95
11 6 10
46 64 95
79 5 23
35 26 33
32 60 15
39 45 79
6 49 58
84 82 36
82 23 33
79 12 65
66 15 78
82 14 25
62 93 82
5 12 54
58 16 86
3 75 78
87 57 67
79 70 92
19 4 11
19 21 83
29 38 51
60 78 70
36 41 57
54 32 78
89 17 77
21 39 16
5 14 44
19 82 73
60 85 57
79 1 84
63 93 36
71 6 56
43 25 46
32 13 16
79 62 77
91 65 13
2 68 11
76 11 98
18 38 6
12 36 59
58 41 79
17 40 51
19 70 62
14 80 82
31 47 68
72 76 91
86 21 29
82 79 70
7 85 13
27 58 72
70 6 90
5 88 53
12 70 2
65 5 97
36 48 44
68 33 49
92 77 6
38 53 88
73 100
58 48 42
69 52 16
17 47 82
56 73 56
40 52 54
42 39 77
36 53 41
20 41 88
18 53 33
47 21 41
17 22 19
31 46 96
47 41 83
42 28 81
50 29 22
60 65 23
3 36 50
3 69 65
6 43 78
53 12 2
3 47 56
10 22 37
4 14 52
2 69 54
59 42 1
6 68 1
66 42 86
36 21 45
36 53 72
21 69 64
32 69 50
17 35 45
53 3 18
17 39 89
66 7 64
52 8 97
52 67 84
66 3 1
69 51 36
41 59 46
21 66 58
13 6 58
56 35 100
42 52 38
48 7 56
50 72 74
39 72 22
44 49 13
26 30 90
35 52 84
33 16 4
53 66 44
21 47 3
63 42 40
45 73 6
62 22 57
59 36 40
32 61 93
59 24 61
53 36 61
18 19 75
53 35 44
14 55 17
2 43 75
60 21 19
39 52 51
46 60 91
66 59 22
66 3 79
21 47 85
51 57 79
41 53 4
66 21 60
42 49 1
5 13 17
39 14 44
4 9 70
16 62 75
16 30 32
70 63 4
69 66 75
25 7 1
64 65 89
60 21 19
27 2 91
32 34 11
37 51 64
10 11 79
31 1 41
36 21 71
71 24 85
59 41 50
38 52 45
3 47 89
59 39 31
59 3 68
65 23 87
41 52 95
14 15 74
54 49 56
3 2
2 1 86
1 3 34
74 100
21 14 74
17 6 53
41 65 33
71 27 53
9 6 38
44 73 22
24 33 96
37 34 97
73 42 56
73 26 100
10 42 87
20 36 100
35 56 100
21 1 44
44 35 53
19 66 62
34 44 1
51 58 77
50 22 88
34 13 93
45 47 69
34 56 71
6 42 4
35 21 27
60 74 82
17 61 98
3 61 66
40 37 36
13 35 80
58 15 53
61 1 69
66 16 26
1 73 80
64 30 81
45 33 13
40 65 49
5 71 100
42 56 42
42 43 48
19 59 67
1 13 53
42 73 2
46 60 36
28 48 51
21 4 6
48 44 82
13 73 16
40 42 66
16 55 1
5 57 89
8 65 77
13 34 42
62 6 4
22 38 96
37 1 67
11 66 82
16 52 62
64 63 5
34 61 56
30 29 85
49 51 15
20 42 14
42 39 31
25 73 63
66 44 27
13 21 27
40 70 30
66 69 45
7 55 97
12 56 17
18 72 96
20 18 52
2 37 73
21 13 59
68 21 81
54 39 79
41 29 11
60 2 63
45 32 87
35 61 1
56 44 93
37 23 52
67 7 56
1 61 54
34 13 65
13 17 33
56 45 13
17 1 72
73 13 79
35 50 17
34 73 100
15 50 26
34 35 66
8 53 52
13 56 81
61 21 22
35 27 52
73 61 12
42 35 2
31 8 22
27 100
23 7 45
17 8 99
20 9 49
15 8 32
4 19 19
8 3 53
2 14 69
20 24 51
23 7 62
24 19 73
2 16 44
7 16 49
25 7 92
14 11 56
24 11 19
22 26 32
7 14 37
3 16 70
1 20 59
7 3 46
1 19 69
14 16 76
23 13 77
11 3 86
8 12 98
14 6 95
25 27 26
23 16 89
15 2 76
19 1 97
19 1 18
10 3 9
16 19 15
12 11 95
1 25 41
24 14 5
24 11 50
16 25 48
10 2 69
7 11 39
15 27 85
26 3 54
20 5 18
8 12 29
26 8 70
11 3 36
3 27 71
2 16 8
10 8 56
2 16 39
23 26 40
5 13 91
10 7 40
8 5 46
7 16 84
8 16 24
19 1 10
20 3 84
20 10 73
25 27 47
10 8 47
2 19 33
10 1 23
18 27 28
19 7 5
7 1 61
20 5 78
10 4 67
2 17 87
19 12 4
3 23 5
24 27 36
5 11 6
7 20 23
12 3 38
2 3 90
11 2 69
20 5 72
10 11 62
13 2 4
11 12 85
2 1 52
17 7 57
25 7 57
19 16 55
5 21 81
25 8 48
19 15 4
14 11 65
16 25 43
16 11 67
17 16 33
17 24 65
10 20 99
27 7 13
13 15 18
10 8 29
16 1 35
3 19 56
15 11 98
74 100
65 7 21
5 43 81
60 43 60
58 43 76
27 67 45
28 52 17
72 25 92
55 28 34
36 39 73
17 43 53
39 16 75
9 33 99
2 23 59
69 54 35
9 74 3
60 21 34
19 44 63
28 15 18
45 5 2
34 42 12
67 55 67
10 61 94
38 72 19
39 2 72
8 53 78
10 36 32
5 67 69
54 56 21
45 67 61
16 14 88
68 55 15
10 18 92
28 5 27
20 61 93
47 36 59
5 3 19
26 19 80
11 43 59
12 70 19
29 19 63
24 50 60
54 2 71
30 45 37
5 45 41
59 3 75
68 65 70
43 39 94
39 43 8
16 42 96
73 10 43
12 23 81
46 45 29
72 22 67
63 8 23
43 73 85
60 58 82
43 55 55
9 68 38
25 67 22
60 47 65
45 58 5
47 39 88
58 25 8
47 40 91
28 58 16
67 10 37
60 5 28
67 58 87
4 69 93
28 55 55
10 64 17
28 40 86
43 55 70
71 54 84
5 28 91
74 51 73
25 50 21
48 33 59
40 10 74
60 11 8
55 25 52
10 41 4
57 13 83
49 60 10
45 52 87
37 67 99
6 38 64
45 66 51
62 33 56
43 31 81
39 45 20
1 10 58
11 5 97
11 45 35
9 35 87
57 25 87
33 32 70
43 11 14
68 8 88
19 73 95
60 100
52 20 89
52 57 67
30 27 97
39 15 26
27 48 45
40 16 4
44 24 71
48 17 7
17 41 91
21 17 53
10 16 27
48 15 64
40 9 19
31 16 100
48 40 72
53 55 55
7 39 23
10 18 71
10 30 98
36 11 78
39 16 48
54 40 72
3 12 81
56 51 33
27 21 21
8 15 68
31 6 55
24 17 81
22 15 23
30 39 22
31 21 97
40 24 91
27 7 40
37 4 57
31 27 55
32 58 49
31 16 20
53 39 79
8 30 20
40 11 43
40 30 31
4 23 39
16 27 98
27 9 2
47 19 44
4 45 19
46 36 50
56 57 90
40 20 53
52 43 99
14 15 21
20 52 26
17 16 30
39 27 10
48 30 53
52 10 71
39 40 66
28 40 50
60 3 10
48 49 63
17 7 76
38 54 88
34 32 12
33 34 32
24 13 17
40 6 52
39 27 10
31 42 77
24 25 58
5 57 26
17 27 24
16 1 44
48 30 96
39 35 77
52 16 69
27 39 41
40 17 69
13 26 70
30 52 70
59 21 63
9 20 45
6 23 13
50 30 47
43 39 88
9 57 32
40 8 55
47 41 96
20 27 38
16 6 88
40 43 84
33 13 59
9 15 88
16 30 87
52 24 7
9 17 54
39 40 25
2 47 41
12 56 56
27 52 98
29 46 8
70 100
11 36 65
5 27 6
36 31 7
14 46 63
16 36 64
45 67 11
10 50 40
64 13 44
67 47 72
35 4 23
9 31 57
43 51 28
11 48 21
5 17 24
36 69 74
32 34 30
39 48 35
47 70 48
26 48 8
35 43 24
21 56 79
22 58 5
48 67 96
11 67 4
48 16 10
11 31 27
39 36 70
57 27 43
48 11 19
16 1 6
68 31 42
60 58 36
11 32 43
16 57 2
44 68 65
43 67 99
9 48 42
48 24 86
39 32 55
33 12 95
20 59 32
51 40 91
51 24 58
24 32 59
43 48 8
57 61 61
39 48 86
54 67 79
32 16 5
25 64 27
51 28 48
8 9 31
17 63 30
57 43 64
33 3 95
17 18 53
9 51 42
67 20 10
51 7 64
69 9 49
68 32 7
65 47 22
42 34 93
37 67 82
17 62 31
68 12 46
24 36 66
24 39 44
2 31 84
6 31 28
57 16 12
19 66 12
43 51 65
13 54 13
10 14 7
32 39 78
34 11 30
19 23 40
43 11 29
52 58 83
56 29 92
9 11 27
21 10 51
38 50 3
24 48 55
57 14 20
57 48 28
32 66 11
34 43 93
24 14 33
39 67 88
67 16 92
28 55 13
11 58 84
15 34 40
30 59 56
49 55 25
41 43 26
53 68 99
48 39 28
10 30
3 10 72
1 10 74
10 4 10
8 2 91
2 10 89
7 3 45
2 4 100
8 1 40
5 8 46
6 5 22
8 6 35
10 2 30
1 7 87
4 8 91
6 7 62
7 4 40
5 3 52
7 1 67
9 10 46
7 6 68
8 2 45
6 3 33
5 3 38
4 3 74
7 4 69
7 1 15
8 4 12
7 3 55
8 3 4
1 7 27
81 100
12 28 28
2 54 99
2 51 95
7 20 88
3 58 19
68 45 18
55 41 91
49 77 46
27 28 48
20 27 70
36 27 74
20 68 87
54 20 99
54 2 41
54 60 2
54 66 48
28 42 40
24 63 21
68 34 11
2 80 51
51 50 45
2 45 87
27 42 23
27 66 41
78 30 71
64 47 35
80 46 46
3 36 6
44 28 54
42 28 35
23 68 80
22 10 29
51 24 77
64 59 40
9 45 52
73 61 57
20 40 96
17 1 4
23 39 72
14 32 56
6 70 18
27 45 30
26 9 22
80 47 2
6 71 96
44 48 90
38 25 60
42 66 61
24 66 70
49 2 58
74 35 76
2 13 40
24 80 92
65 68 3
2 68 93
72 65 61
11 39 23
53 25 25
16 47 2
68 66 33
54 68 17
21 74 95
10 62 84
68 6 80
79 45 24
32 80 67
50 33 22
80 51 12
43 15 45
45 74 22
18 44 43
62 19 34
25 46 61
2 31 69
41 17 22
1 42 10
9 5 48
33 75 40
45 68 74
42 56 91
76 2 56
54 69 36
42 29 91
6 37 60
81 41 7
57 20 48
68 67 38
6 78 21
20 52 60
73 50 12
45 80 29
24 51 9
27 54 18
21 4 90
45 54 80
24 2 19
24 51 53
28 10 36
15 52 4
25 8 74
32 100
30 20 40
5 9 86
26 18 75
13 28 62
4 11 46
15 4 10
28 21 9
19 8 35
23 6 41
14 30 57
31 30 63
12 20 6
19 25 46
13 16 86
27 32 2
4 14 51
12 23 27
30 20 82
18 17 26
13 32 91
8 11 76
4 13 71
19 17 3
31 27 80
20 14 67
27 28 2
29 10 49
23 12 39
10 26 59
31 4 4
11 32 19
4 23 57
1 10 30
31 14 73
4 10 45
26 4 18
4 6 48
14 29 25
8 31 53
23 28 42
32 11 71
8 28 39
6 15 79
7 1 31
11 21 70
21 31 72
13 21 26
15 28 10
12 27 7
31 32 9
30 15 31
6 7 22
31 12 35
5 32 94
23 16 32
27 32 33
4 21 1
23 30 71
28 30 12
4 18 41
26 22 73
27 18 77
24 32 57
15 2 96
7 16 64
1 16 32
18 27 79
16 10 89
27 15 31
28 20 49
14 16 95
30 21 37
25 18 95
30 32 71
9 5 2
3 23 56
20 4 9
8 4 71
15 13 92
12 23 84
16 27 23
21 4 9
30 16 2
30 32 1
28 17 94
17 21 31
32 26 93
8 9 71
8 20 89
24 11 24
17 27 1
16 28 78
20 12 5
4 5 29
9 10 17
32 13 65
9 30 25
29 13 93
32 1 62
14 15 61
18 61
1 15 23
7 14 85
9 7 11
1 16 8
15 7 39
17 9 79
5 3 35
5 9 88
12 5 25
8 3 1
9 15 59
2 8 83
5 1 86
8 12 67
5 17 43
4 17 13
9 16 4
17 3 66
8 4 1
13 5 97
9 13 91
7 8 40
14 5 74
7 14 38
6 1 25
4 10 62
7 10 4
5 11 71
4 9 74
11 9 61
4 5 5
3 7 88
11 6 53
6 18 63
17 7 83
18 15 67
1 9 58
18 17 13
4 5 65
7 12 58
14 7 68
13 18 9
1 7 75
5 1 94
14 8 86
14 15 77
13 15 12
3 8 28
3 7 70
13 17 9
3 5 22
11 13 92
7 1 27
7 11 10
1 9 82
4 8 97
12 18 24
13 2 85
17 5 72
7 4 26
2 13 99
78 100
44 48 52
34 30 53
63 55 95
74 57 20
42 78 49
71 32 34
63 44 32
63 39 55
5 40 43
37 39 16
45 52 40
30 2 25
68 37 95
68 28 89
52 66 19
42 37 82
28 18 47
17 27 91
5 57 74
65 42 68
73 6 58
28 72 87
75 54 76
53 29 7
63 44 33
67 42 40
28 34 38
44 68 100
36 46 64
3 26 23
13 76 54
3 37 51
42 74 79
48 42 46
39 44 2
42 53 62
54 15 66
63 72 61
28 71 27
74 33 50
20 56 34
44 71 24
28 39 41
25 57 15
16 62 32
68 59 70
17 20 98
22 54 70
74 75 63
48 58 33
68 66 88
43 28 26
19 70 81
71 37 43
33 9 4
71 39 78
68 49 16
4 61 42
42 51 48
74 44 68
11 64 5
72 44 75
68 28 61
5 36 40
69 57 40
45 7 25
44 72 56
1 76 24
35 78 50
70 3 16
55 12 61
10 40 99
13 75 93
48 44 52
49 23 54
32 41 70
71 44 10
69 8 90
48 42 30
70 64 98
44 39 55
24 71 25
39 68 23
77 14 69
71 42 32
17 21 3
15 60 58
16 48 82
41 50 56
3 71 11
77 1 68
47 76 76
68 38 23
63 42 29
73 48 58
35 4 8
50 31 87
63 17 41
3 39 25
39 48 47
95 100
54 60 22
14 19 32
22 89 15
46 76 11
30 19 48
19 46 67
26 55 77
34 28 41
67 76 92
60 29 23
32 92 79
14 85 78
41 59 36
2 30 88
10 22 75
74 58 96
1 19 51
27 5 10
60 95 90
61 43 58
80 1 44
43 95 55
51 70 66
41 70 40
8 4 93
15 24 87
29 70 66
60 70 17
60 51 66
70 54 27
29 93 83
65 60 83
12 95 99
58 53 1
7 19 64
74 17 78
73 33 56
89 84 49
35 66 97
40 54 72
42 41 77
13 43 74
22 91 78
63 21 43
26 66 92
75 29 72
30 6 48
47 66 97
56 49 84
60 19 100
82 33 83
92 75 53
21 26 38
31 74 94
72 70 13
76 44 31
81 20 72
58 46 96
37 46 77
26 71 37
60 73 93
33 64 62
12 39 54
22 5 9
58 78 1
2 9 40
54 95 35
83 55 99
83 77 32
50 74 85
69 22 90
68 73 60
40 79 59
54 29 95
33 86 64
62 25 98
92 57 75
3 48 18
16 62 29
74 4 87
22 24 77
88 11 27
62 81 9
60 51 35
21 95 56
54 87 87
58 34 36
45 43 28
60 22 67
90 65 62
58 48 87
52 48 57
31 18 65
20 49 14
48 23 64
38 15 10
11 30 79
76 94 49
70 81 49
36 60 99
24 82
6 7 56
15 5 30
22 7 95
22 24 72
7 22 90
17 7 90
18 1 34
24 22 62
8 18 96
10 2 25
21 7 31
7 18 14
17 8 5
1 10 19
11 22 76
9 1 95
13 1 42
16 8 31
3 6 34
9 17 78
1 20 67
6 10 23
24 15 39
14 4 8
19 16 82
15 4 47
20 3 9
8 21 53
1 21 48
12 7 22
8 23 18
24 21 67
23 21 96
2 11 76
20 19 97
21 24 8
1 16 82
6 23 96
3 24 2
4 22 48
21 15 39
21 16 30
2 1 38
7 8 6
9 1 73
20 5 81
1 15 87
6 10 1
24 15 24
11 2 39
21 6 94
8 1 84
21 24 65
22 15 10
15 9 88
9 12 96
20 6 37
23 17 78
10 17 8
5 9 97
23 19 99
24 1 56
7 8 16
15 24 89
23 19 35
5 15 83
22 24 56
16 22 8
9 17 1
23 5 100
16 20 93
3 14 71
4 6 11
3 8 27
23 13 97
23 3 25
19 21 82
7 15 69
19 13 22
8 15 99
1 9 46
7 11 30
63 100
19 44 80
11 6 11
4 52 43
37 17 75
31 16 70
62 46 59
21 58 44
36 29 37
63 17 74
62 38 55
24 19 59
53 62 80
45 47 73
3 62 41
27 52 59
58 15 17
54 7 98
2 15 33
56 15 37
31 13 45
50 26 38
34 25 61
54 3 33
62 44 36
60 43 63
23 13 4
54 56 41
19 52 84
19 62 48
53 61 42
35 45 15
53 41 43
56 28 90
11 8 71
56 9 25
56 42 32
57 45 84
11 3 91
11 50 94
8 19 37
14 49 75
44 61 7
44 58 24
44 55 78
7 54 29
42 20 43
3 13 50
48 45 7
15 44 42
11 34 81
3 8 55
54 11 33
11 9 4
32 51 81
40 3 81
3 33 13
53 9 11
12 21 11
11 53 32
8 61 45
15 30 35
22 19 71
58 44 45
62 7 67
15 54 97
45 54 51
56 44 13
19 44 35
62 13 4
8 3 88
60 22 89
51 29 100
5 60 97
54 7 19
58 54 8
58 11 2
11 61 11
39 36 18
53 10 49
62 3 59
31 14 12
7 8 58
61 54 18
58 52 79
19 61 81
47 36 54
8 56 1
3 53 49
59 2 62
17 56 66
44 3 56
13 50 93
50 9 1
11 56 16
54 50 90
54 11 35
11 9 75
19 13 33
18 24 89
56 1 2
5 6
4 1 77
3 1 56
4 3 52
3 1 96
5 3 68
5 2 87
52 100
21 32 24
20 36 41
10 1 66
39 32 61
48 19 9
23 36 29
12 39 63
35 44 67
12 33 90
42 19 77
50 29 74
36 49 89
29 16 43
5 1 46
21 12 46
33 24 12
32 24 81
33 22 91
33 32 34
37 30 66
39 12 17
23 7 3
21 24 69
10 5 70
45 31 79
43 33 83
7 27 68
33 47 50
33 23 75
10 21 63
21 25 61
10 17 54
36 13 70
34 15 14
36 33 41
19 24 49
25 24 61
28 42 28
32 1 27
41 30 53
25 1 85
8 15 23
44 36 40
33 5 83
29 25 35
29 39 62
29 24 43
23 29 50
10 24 34
25 45 45
45 10 45
38 10 7
21 9 65
25 24 33
24 23 37
43 25 11
12 39 93
32 19 67
16 11 33
33 25 97
36 22 8
22 39 52
10 4 84
12 23 88
29 5 6
25 29 96
45 10 16
2 49 16
32 24 38
29 33 56
32 43 53
12 40 54
33 5 23
31 46 66
12 13 18
23 36 52
15 26 49
21 1 36
21 10 67
12 32 23
45 21 35
33 12 20
52 21 37
22 32 48
45 14 63
33 32 82
19 24 76
47 30 22
45 12 61
39 23 90
32 18 47
51 24 31
44 6 51
25 3 99
15 35 98
32 33 23
32 5 10
36 25 23
19 25 29
29 45 11
41 100
10 19 60
21 20 63
35 10 11
32 5 88
33 25 29
35 27 43
21 12 63
23 7 13
6 16 28
21 27 32
6 32 64
21 2 45
37 35 57
31 4 83
5 31 92
2 31 65
20 10 66
18 21 16
34 23 25
18 19 56
37 28 53
37 34 28
12 27 94
34 17 50
21 32 27
17 34 25
32 7 98
34 2 14
29 7 37
20 37 8
39 37 30
34 23 16
10 17 5
8 5 49
22 2 88
23 7 1
27 10 18
10 33 52
13 21 18
29 22 2
10 30 51
17 12 68
32 34 56
20 10 1
10 21 11
18 23 48
32 19 78
36 3 44
12 20 49
2 38 24
27 19 94
14 23 45
12 34 55
7 37 34
7 23 28
27 22 8
24 20 71
10 35 62
7 27 66
37 35 39
11 30 36
3 31 19
23 27 9
21 23 31
19 20 29
23 21 18
20 7 22
22 34 51
35 37 97
10 17 38
21 33 95
33 20 81
23 19 66
23 29 51
27 33 45
7 5 69
23 18 69
35 31 18
35 22 68
19 9 66
20 21 79
28 19 58
1 13 99
30 31 77
28 26 23
12 29 11
34 15 86
7 37 78
22 34 34
37 22 12
21 5 39
21 31 54
37 17 90
17 35 11
40 19 19
37 23 16
37 15 7
20 32 24
32 41 65
17 23 14
87 100
13 73 50
22 36 29
70 69 4
43 44 22
4 87 46
70 53 19
19 67 41
36 68 12
54 63 28
64 60 98
31 19 15
47 27 35
18 39 95
25 14 30
29 74 70
71 4 78
20 86 99
86 8 77
34 20 10
73 71 14
64 30 39
6 65 48
84 79 4
61 66 17
36 35 50
24 48 51
62 36 17
5 19 65
21 67 74
12 11 75
64 14 51
31 34 51
24 20 53
20 31 49
76 37 89
46 39 42
66 77 62
31 34 97
20 67 4
64 85 53
38 46 56
28 80 41
19 34 48
12 86 61
52 42 5
70 10 21
67 66 55
20 69 36
41 19 90
74 67 33
63 75 99
65 23 61
34 49 17
70 65 20
55 23 99
58 35 67
1 11 86
74 73 61
9 81 88
50 19 36
27 16 13
5 67 54
36 71 21
33 24 65
73 31 18
69 5 80
30 54 95
45 48 86
73 51 81
83 15 33
74 19 79
12 76 29
36 81 38
65 78 91
26 5 35
71 27 46
46 74 57
74 31 54
67 85 23
17 69 45
32 9 68
85 15 88
69 80 49
79 52 26
67 5 87
82 20 63
2 14 30
39 3 81
7 43 1
73 21 1
67 20 69
5 19 75
22 52 3
21 40 25
85 57 78
31 7 46
34 20 31
78 56 40
59 80 3
72 12 79
7 10
1 4 3
2 6 67
6 7 30
7 1 96
1 6 46
3 6 49
2 6 33
5 1 9
2 5 35
1 5 34
13 39
7 11 78
13 2 64
9 13 21
9 6 98
6 10 21
9 3 19
5 3 68
6 9 9
11 10 100
7 12 25
8 12 24
13 2 46
2 5 95
9 2 31
10 4 4
4 1 58
6 9 92
11 4 48
3 1 70
2 10 92
3 12 42
3 8 92
11 3 59
6 4 85
6 4 34
7 6 10
12 2 12
2 13 38
5 9 24
6 11 34
11 3 51
1 6 41
2 13 19
11 7 76
1 2 17
10 13 19
4 2 35
2 13 91
11 5 84
12 31
5 2 80
4 11 32
5 2 45
10 5 3
8 6 54
4 3 37
3 7 85
1 9 24
1 4 1
5 8 7
10 3 24
9 6 47
10 1 17
4 5 18
3 6 64
11 6 61
6 5 31
4 11 13
7 1 66
3 2 36
12 1 75
5 11 84
9 1 73
12 10 31
1 2 37
9 6 52
10 8 58
10 9 74
7 4 31
11 8 26
6 11 88
17 41
3 6 17
1 10 60
1 17 54
17 6 22
6 16 75
5 15 17
8 16 69
7 8 77
13 12 57
16 5 57
1 17 76
9 8 85
12 7 63
3 9 44
9 15 7
8 15 89
7 14 51
16 1 86
16 12 47
3 15 99
5 16 49
5 6 92
13 5 60
9 5 33
15 4 64
17 11 88
5 17 57
4 14 52
1 8 70
12 16 100
5 9 23
15 17 83
17 12 22
6 1 16
10 2 75
14 2 75
5 15 61
5 13 10
5 4 76
4 14 45
7 13 4
29 100
12 22 44
27 24 72
14 11 24
25 14 60
11 29 85
23 5 58
12 23 71
18 19 99
12 14 10
28 12 4
24 9 23
3 24 31
22 20 92
15 23 43
18 27 66
17 9 27
20 24 49
1 16 40
22 12 58
24 7 96
20 26 99
1 15 82
10 5 9
9 18 99
1 28 44
25 28 39
11 9 40
17 12 28
2 18 94
15 13 44
19 24 68
11 14 65
19 18 59
15 24 44
9 4 78
2 18 40
23 9 88
29 1 33
25 14 35
21 1 73
26 22 57
14 20 81
22 6 37
